rowid,mpl_hostname,mpl_letter,mpl_def,mpl_reflink,mpl_discmethod,mpl_pnum,mpl_orbper,mpl_orbsmax,mst_teff,mst_mass,mst_rad,rowupdate,mpl_name,mpl_masse,mpl_rade,mpl_disc,mpl_status,st_dist
1616,Kepler-1530,c,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,2,5.3227406,,5477,0.92,0.88,5/10/16,Kepler-1530 c,,1.65,2016,3,824
1617,Kepler-1531,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,1.13854338,,6260,1.16,1.27,5/10/16,Kepler-1531 b,,1.11,2016,3,852
1618,Kepler-1532,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,1.09366356,,5559,0.91,0.88,5/10/16,Kepler-1532 b,,1.35,2016,3,1107
1619,Kepler-1533,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,308.5471,,6431,1.31,1.51,5/10/16,Kepler-1533 b,,3.46,2016,3,879
1620,Kepler-1534,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,5.71668872,,5442,0.9,0.86,5/10/16,Kepler-1534 b,,1.89,2016,3,401
1621,Kepler-1535,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,138.9442,,6021,1.08,1.11,5/10/16,Kepler-1535 b,,2.55,2016,3,503
1622,Kepler-1536,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,364.758031,,4434,0.71,0.67,5/10/16,Kepler-1536 b,,3.14,2016,3,1291
1623,Kepler-1537,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,1.4444538,,5079,0.81,0.77,5/10/16,Kepler-1537 b,,1.18,2016,3,788
1624,Kepler-1538,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,175.138819,,5837,1.03,1.03,5/10/16,Kepler-1538 b,,2.82,2016,3,
1625,Kepler-1539,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,133.3036741,,5176,0.84,0.8,5/10/16,Kepler-1539 b,,2.7,2016,3,
1626,Kepler-154,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Transit,5,33.040532,0.198,5690,,1,5/14/14,Kepler-154 b,,2.26,2014,3,
1627,Kepler-154,c,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Transit,5,62.303276,0.303,5690,,1,5/14/14,Kepler-154 c,,2.95,2014,3,
1628,Kepler-154,d,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,5,20.54981883,,5769,0.98,0.98,5/10/16,Kepler-154 d,,3.84,2016,3,
1629,Kepler-154,e,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,5,3.93276465,,5769,0.98,0.98,5/10/16,Kepler-154 e,,1.5,2016,3,262
1630,Kepler-154,f,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,5,9.91935684,,5769,0.98,0.98,5/10/16,Kepler-154 f,,1.5,2016,3,414
1631,Kepler-1540,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,125.4131177,,4540,0.74,0.69,5/10/16,Kepler-1540 b,,2.49,2016,3,336
1632,Kepler-1541,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,8.40691199,,5282,0.86,0.81,5/10/16,Kepler-1541 b,,1.16,2016,3,336
1633,Kepler-1542,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,4,3.95116882,,5564,0.94,0.99,5/10/16,Kepler-1542 b,,0.76,2016,3,336
1634,Kepler-1542,c,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,4,2.89223021,,5564,0.94,0.99,5/10/16,Kepler-1542 c,,0.65,2016,3,336
1635,Kepler-1542,d,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,4,5.99273738,,5564,0.94,0.99,5/10/16,Kepler-1542 d,,0.87,2016,3,1114
1636,Kepler-1542,e,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,4,5.10115756,,5564,0.94,0.99,5/10/16,Kepler-1542 e,,0.76,2016,3,349
1637,Kepler-1543,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,6.96710269,,6561,1.39,1.65,5/10/16,Kepler-1543 b,,2.71,2016,3,688
1638,Kepler-1544,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,168.811174,,4886,0.81,0.74,5/10/16,Kepler-1544 b,,1.78,2016,3,994
1639,Kepler-1545,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,163.692349,,5201,0.84,0.8,5/10/16,Kepler-1545 b,,2.7,2016,3,665
1640,Kepler-1546,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,19.5974971,,5623,0.95,0.93,5/10/16,Kepler-1546 b,,3.13,2016,3,1150
1641,Kepler-1547,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,0.69297968,,6078,1.12,1.18,5/10/16,Kepler-1547 b,,0.9,2016,3,792
1642,Kepler-1548,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,124.828679,,5706,0.99,0.97,5/10/16,Kepler-1548 b,,2.64,2016,3,
1643,Kepler-1549,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,214.886545,,5324,0.88,0.84,5/10/16,Kepler-1549 b,,2.57,2016,3,
1644,Kepler-155,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Transit,2,5.931194,0.056,4508,,0.62,5/14/14,Kepler-155 b,,2.09,2014,3,1202
1645,Kepler-155,c,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Transit,2,52.661793,0.242,4508,,0.62,5/14/14,Kepler-155 c,,2.24,2014,3,1560
1646,Kepler-1550,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,225.582809,,5991,1.07,1.11,5/10/16,Kepler-1550 b,,3.02,2016,3,618
1647,Kepler-1551,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,24.4973698,,6136,1.14,1.22,5/10/16,Kepler-1551 b,,2.66,2016,3,719
1648,Kepler-1552,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,184.771853,,5202,0.85,0.78,5/10/16,Kepler-1552 b,,2.47,2016,3,982
1649,Kepler-1553,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,4.24261881,,5288,0.85,0.81,5/10/16,Kepler-1553 b,,1.15,2016,3,1382
1650,Kepler-1554,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,198.088774,,5297,0.84,0.81,5/10/16,Kepler-1554 b,,2.9,2016,3,1060
1651,Kepler-1555,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,8.10501635,,5866,1.04,1.06,5/10/16,Kepler-1555 b,,1.61,2016,3,1532
1652,Kepler-1556,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,8.82713457,,5608,0.97,0.95,5/10/16,Kepler-1556 b,,1.96,2016,3,343
1653,Kepler-1557,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,3.74032496,,6099,1.11,1.17,5/10/16,Kepler-1557 b,,1.53,2016,3,580
1654,Kepler-1558,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,3.50470358,,5101,0.83,0.79,5/10/16,Kepler-1558 b,,0.68,2016,3,
1655,Kepler-1559,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,0.97191543,,5316,0.86,0.82,5/10/16,Kepler-1559 b,,0.72,2016,3,
1656,Kepler-156,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Transit,2,4.973456,0.054,5094,,0.81,5/14/14,Kepler-156 b,,2.3,2014,3,529
1657,Kepler-156,c,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Transit,2,15.906801,0.117,5094,,0.81,5/14/14,Kepler-156 c,,2.55,2014,3,993
1658,Kepler-1560,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,3.03195744,,5815,1.02,1.02,5/10/16,Kepler-1560 b,,0.89,2016,3,1315
1659,Kepler-1561,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,1.00520701,,5957,1.07,1.11,5/10/16,Kepler-1561 b,,1.09,2016,3,547
1660,Kepler-1562,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,64.2737752,,5760,1.02,1.05,5/10/16,Kepler-1562 b,,3.55,2016,3,872
1661,Kepler-1563,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,3.43276598,,5765,1,0.99,5/10/16,Kepler-1563 b,,0.75,2016,3,657
1662,Kepler-1564,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,18.0540381,,5528,0.93,0.9,5/10/16,Kepler-1564 b,,1.47,2016,3,511
1663,Kepler-1565,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,1.53818844,,4940,0.76,0.73,5/10/16,Kepler-1565 b,,1.19,2016,3,1226
1664,Kepler-1566,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,0.53991524,,5254,0.84,0.81,5/10/16,Kepler-1566 b,,0.79,2016,3,883
1665,Kepler-1567,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,153.979578,,5655,0.95,0.93,5/10/16,Kepler-1567 b,,2.73,2016,3,1050
1666,Kepler-1568,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,20.925392,,5956,1.09,1.19,5/10/16,Kepler-1568 b,,1.3,2016,3,
1667,Kepler-1569,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,5.79180156,,6319,1.25,1.4,5/10/16,Kepler-1569 b,,1.68,2016,3,
1668,Kepler-157,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Transit,3,1.732342,0.028,5774,,1.04,5/14/14,Kepler-157 b,,1.32,2014,3,
1669,Kepler-157,c,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Transit,3,13.5405,0.11,5774,,1.04,5/14/14,Kepler-157 c,,2.24,2014,3,463
