rowid,mpl_hostname,mpl_letter,mpl_def,mpl_reflink,mpl_discmethod,mpl_pnum,mpl_orbper,mpl_orbsmax,mst_teff,mst_mass,mst_rad,rowupdate,mpl_name,mpl_masse,mpl_rade,mpl_disc,mpl_status,st_dist
371,HD 153950,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...496..513M target=ref> Moutou et al. 2009 </a>,Radial Velocity,1,499.4,1.28,6076,1.12,1.34,5/14/14,HD 153950 b,,,2008,3,51.87
372,HD 154345,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008ApJ...683L..63W target=ref> Wright et al. 2008 </a>,Radial Velocity,1,3342,4.19,,0.88,,5/14/14,HD 154345 b,,,2006,3,18.06
373,HD 154672,b,1,<a href=http://adsabs.harvard.edu/abs/2016arXiv160309391J target=ref>Jenkins et al. 2016</a>,Radial Velocity,1,163.967,0.59,5655,1.08,1.44,11/10/16,HD 154672 b,,,2008,3,64.77
374,HD 154857,b,1,<a href=http://adsabs.harvard.edu/abs/2014ApJ...783..103W target=ref> Wittenmyer et al. 2014 </a>,Radial Velocity,2,408.6,1.291,5605,1.718,1.76,5/14/14,HD 154857 b,,,2004,3,68.54
375,HD 154857,c,1,<a href=http://adsabs.harvard.edu/abs/2014ApJ...783..103W target=ref> Wittenmyer et al. 2014 </a>,Radial Velocity,2,3452,5.36,5605,1.718,1.76,5/14/14,HD 154857 c,,,2014,3,68.54
376,HD 155233,b,1,<a href=http://adsabs.harvard.edu/abs/2016arXiv160303738J target=ref>Jones et al. 2016</a>,Radial Velocity,1,818.8,2,4960,1.69,5.03,3/17/16,HD 155233 b,,,2015,3,75.13
377,HD 155358,b,1,<a href=http://adsabs.harvard.edu/abs/2012ApJ...749...39R target=ref> Robertson et al. 2012 </a>,Radial Velocity,2,194.3,0.64,,,,5/14/14,HD 155358 b,,,2007,3,43.4
378,HD 155358,c,1,<a href=http://adsabs.harvard.edu/abs/2012ApJ...749...39R target=ref> Robertson et al. 2012 </a>,Radial Velocity,2,391.9,1.02,,,,5/14/14,HD 155358 c,,,2007,3,43.4
379,HD 156279,b,1,<a href=http://adsabs.harvard.edu/abs/2012A%26A...538A.113D target=ref> D&iacute;az et al. 2012 </a>,Radial Velocity,1,131.05,0.495,5453,0.93,,5/14/14,HD 156279 b,,,2011,3,35.37
380,HD 156411,b,1,<a href=http://adsabs.harvard.edu/abs/2010A%26A...523A..15N target=ref> Naef et al. 2010 </a>,Radial Velocity,1,842.2,1.88,5900,1.25,2.16,6/25/14,HD 156411 b,,,2009,3,55.1
381,HD 156668,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2011ApJ...726...73H target=ref> Howard et al. 2011 </a>,Radial Velocity,1,4.6455,0.05,4850,0.772,0.72,5/14/14,HD 156668 b,,,2010,3,24.05
382,HD 156846,b,1,<a href=http://adsabs.harvard.edu/abs/2011ApJ...733...28K target=ref> Kane et al. 2011 </a>,Radial Velocity,1,359.5546,1.096,5969,1.35,2.12,5/14/14,HD 156846 b,,,2007,3,49
383,HD 158038,b,1,<a href=http://adsabs.harvard.edu/abs/2011ApJS..197...26J target=ref> Johnson et al. 2011 </a>,Radial Velocity,1,521,1.52,4897,1.65,4.8,5/14/14,HD 158038 b,,,2011,3,114.15
384,HD 159243,b,1,<a href=http://adsabs.harvard.edu/abs/2014A%26A...563A..22M target=ref> Moutou et al. 2014 </a>,Radial Velocity,2,12.62,0.11,6123,1.125,1.12,5/14/14,HD 159243 b,,,2013,3,68.59
385,HD 159243,c,1,<a href=http://adsabs.harvard.edu/abs/2014A%26A...563A..22M target=ref> Moutou et al. 2014 </a>,Radial Velocity,2,248.4,0.8,6123,1.125,1.12,5/14/14,HD 159243 c,,,2013,3,68.59
386,HD 159868,b,1,<a href=http://adsabs.harvard.edu/abs/2012ApJ...753..169W target=ref> Wittenmyer et al. 2012 </a>,Radial Velocity,2,1178.4,2.25,5558,1.087,,5/14/14,HD 159868 b,,,2006,3,52.72
387,HD 159868,c,1,<a href=http://adsabs.harvard.edu/abs/2012ApJ...753..169W target=ref> Wittenmyer et al. 2012 </a>,Radial Velocity,2,352.3,1,5558,1.087,,5/14/14,HD 159868 c,,,2012,3,52.72
388,HD 1605,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...806....5H target=ref>Harakawa et al. 2015</a>,Radial Velocity,2,577.9,1.48,4757,1.31,3.8,4/1/15,HD 1605 b,,,2015,3,84.6
389,HD 1605,c,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...806....5H target=ref>Harakawa et al. 2015</a>,Radial Velocity,2,2111,3.52,4757,1.31,3.8,4/1/15,HD 1605 c,,,2015,3,84.6
390,HD 160691,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2007A&A...462..769P target=ref> Pepe et al. 2007 </a>,Radial Velocity,4,643.25,1.497,,,,8/21/14,HD 160691 b,,,2000,3,15.28
391,HD 160691,c,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2007A&A...462..769P target=ref> Pepe et al. 2007 </a>,Radial Velocity,4,4205.8,5.235,,,,8/21/14,HD 160691 c,,,2004,3,15.28
392,HD 160691,d,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2007A&A...462..769P target=ref> Pepe et al. 2007 </a>,Radial Velocity,4,9.6386,0.09094,,,,8/21/14,HD 160691 d,,,2004,3,15.28
393,HD 160691,e,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2007A&A...462..769P target=ref> Pepe et al. 2007 </a>,Radial Velocity,4,310.55,0.921,,,,8/21/14,HD 160691 e,,,2006,3,15.28
394,HD 16141,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2006ApJ...646..505B target=ref> Butler et al. 2006 </a>,Radial Velocity,1,75.523,0.363,5794,1.12,,5/14/14,HD 16141 b,,,2000,3,35.91
395,HD 16175,b,1,<a href=http://adsabs.harvard.edu/abs/2016arXiv160407610D target=ref>Diaz et al. 2016</a>,Radial Velocity,1,995.4,2.148,6022,1.34,,5/19/16,HD 16175 b,,,2009,3,59.84
396,HD 162020,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2002A&A...390..267U target=ref> Udry et al. 2002 </a>,Radial Velocity,1,8.428198,0.074,4830,0.75,,5/14/14,HD 162020 b,,,2002,3,31.26
397,HD 163607,b,1,<a href=http://adsabs.harvard.edu/abs/2012ApJ...744....4G target=ref> Giguere et al. 2012 </a>,Radial Velocity,2,75.29,0.36,5543,1.09,1.63,2/5/15,HD 163607 b,,,2010,3,69.44
398,HD 163607,c,1,<a href=http://adsabs.harvard.edu/abs/2012ApJ...744....4G target=ref> Giguere et al. 2012 </a>,Radial Velocity,2,1314,2.42,5543,1.09,1.63,6/25/14,HD 163607 c,,,2010,3,69.44
399,HD 16417,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009ApJ...697.1263O target=ref> O'Toole et al. 2009 </a>,Radial Velocity,1,17.24,0.14,,1.2,,5/14/14,HD 16417 b,,,2008,3,25.54
400,HD 164509,b,1,<a href=http://adsabs.harvard.edu/abs/2012ApJ...744....4G target=ref> Giguere et al. 2012 </a>,Radial Velocity,1,282.4,0.875,5922,1.13,1.06,6/25/14,HD 164509 b,,,2010,3,51.81
401,HD 164595,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...581A..38C target=ref>Courcol et al. 2015</a>,Radial Velocity,1,40,0.23,5790,0.99,,9/10/15,HD 164595 b,,,2015,3,28.93
402,HD 164604,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010ApJ...711.1229A target=ref> Arriagada et al. 2010 </a>,Radial Velocity,1,606.4,1.3,,0.8,,5/14/14,HD 164604 b,,,2009,3,37.98
403,HD 164922,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...830...46F target=ref>Fulton et al. 2016</a>,Radial Velocity,2,1201.1,2.115,5293,0.874,1,10/27/16,HD 164922 b,,,2005,3,22.13
404,HD 164922,c,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...830...46F target=ref>Fulton et al. 2016</a>,Radial Velocity,2,75.765,0.3351,5293,0.874,1,10/27/16,HD 164922 c,,,2016,3,22.13
405,HD 165155,b,1,<a href=http://adsabs.harvard.edu/abs/2016arXiv160309391J target=ref>Jenkins et al. 2016</a>,Radial Velocity,1,434.5,1.13,5426,1.02,0.95,11/10/16,HD 165155 b,,,2016,3,64.98
406,HD 1666,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...806....5H target=ref>Harakawa et al. 2015</a>,Radial Velocity,1,270,0.94,6317,1.5,1.93,4/1/15,HD 1666 b,,,2015,3,110.62
407,HD 166724,b,1,<a href=http://adsabs.harvard.edu/abs/2013A%26A...551A..90M target=ref> Marmier et al. 2013 </a>,Radial Velocity,1,5144,5.42,5127,0.81,,5/14/14,HD 166724 b,,,2012,3,42.99
408,HD 167042,b,1,<a href=http://adsabs.harvard.edu/abs/2010ApJ...709..396B target=ref> Bowler et al. 2010 </a>,Radial Velocity,1,420.77,1.32,,1.72,,5/14/14,HD 167042 b,,,2007,3,50
409,HD 168443,b,1,<a href=http://adsabs.harvard.edu/abs/2011ApJ...743..162P target=ref> Pilyavsky et al. 2011 </a>,Radial Velocity,2,58.11247,0.2931,5491,0.995,1.51,6/25/14,HD 168443 b,,,1998,3,37.88
410,HD 168443,c,1,<a href=http://adsabs.harvard.edu/abs/2011ApJ...743..162P target=ref> Pilyavsky et al. 2011 </a>,Radial Velocity,2,1749.83,2.8373,5491,0.995,1.51,2/5/15,HD 168443 c,,,2000,3,37.88
411,HD 168746,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2006ApJ...646..505B target=ref> Butler et al. 2006 </a>,Radial Velocity,1,6.404,0.0659,5564,0.93,,6/25/14,HD 168746 b,,,2002,3,43.12
412,HD 1690,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2011A%26A...527A..63M target=ref> Moutou et al. 2011 </a>,Radial Velocity,1,533,1.3,4393,1.09,16.7,5/14/14,HD 1690 b,,,2010,3,7.01
413,HD 169830,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2004A&A...415..391M target=ref> Mayor et al. 2004 </a>,Radial Velocity,2,225.62,0.81,6299,1.4,,6/25/14,HD 169830 b,,,2000,3,36.32
414,HD 169830,c,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2004A&A...415..391M target=ref> Mayor et al. 2004 </a>,Radial Velocity,2,2102,3.6,6299,1.4,,6/25/14,HD 169830 c,,,2003,3,36.32
415,HD 170469,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2007ApJ...669.1336F target=ref> Fischer et al. 2007 </a>,Radial Velocity,1,1145,2.1,5810,1.14,1.22,7/2/14,HD 170469 b,,,2007,3,64.98
416,HD 17092,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2007ApJ...669.1354N target=ref> Niedzielski et al. 2007 </a>,Radial Velocity,1,359.9,,4650,2.3,,7/2/14,HD 17092 b,,,2007,3,
417,HD 171028,b,1,<a href=http://adsabs.harvard.edu/abs/2011A&A...526A.112S target=ref> Santos et al. 2011 </a>,Radial Velocity,1,550,1.32,,,,7/2/14,HD 171028 b,,,2007,3,90
418,HD 171238,b,1,<a href=http://adsabs.harvard.edu/abs/2010A%26A...511A..45S target=ref> S&eacute;gransan et al. 2010 </a>,Radial Velocity,1,1523,2.54,5467,0.943,,7/2/14,HD 171238 b,,,2009,3,44.05
419,HD 17156,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...503..601B target=ref> Barbieri et al. 2009 </a>,Radial Velocity,1,21.21663,0.1614,6100,1.24,1.44,10/29/14,HD 17156 b,1023.37,11.43,2007,3,75
420,HD 173416,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009ReA&A...9....1L target=ref> Liu et al. 2009 </a>,Radial Velocity,1,323.6,1.16,4683,2,13.5,7/9/14,HD 173416 b,,,2008,3,134.95
421,HD 175167,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010ApJ...711.1229A target=ref> Arriagada et al. 2010 </a>,Radial Velocity,1,1290,2.4,,1.102,,5/14/14,HD 175167 b,,,2009,3,67.02
422,HD 175541,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2007ApJ...665..785J target=ref> Johnson et al. 2007 </a>,Radial Velocity,1,297.3,1.03,5060,1.65,3.8,7/9/14,HD 175541 b,,,2007,3,127.55
423,HD 175607,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151103941M target=ref>Mortier et al. 2015</a>,Radial Velocity,1,29.01,,5392,0.71,0.7,11/19/15,HD 175607 b,,,2015,3,45.27
424,HD 17674,b,1,<a href=http://adsabs.harvard.edu/abs/2017arXiv170206393R target=ref>Rey et al. 2017</a>,Radial Velocity,1,623.8,1.42,5904,0.98,1.18,3/2/17,HD 17674 b,,,2017,3,44.5
425,HD 177565,b,1,<a href=http://adsabs.harvard.edu/abs/2017arXiv170503089F target=ref>Feng et al. 2017</a>,Radial Velocity,1,44.505,0.246,,1,,6/15/17,HD 177565 b,,,2017,3,17.17
426,HD 177830,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2011ApJ...727..117M target=ref> Meschiari et al. 2011 </a>,Radial Velocity,2,406.6,1.2218,4949,1.47,2.62,5/14/14,HD 177830 b,,,1999,3,59.03
427,HD 177830,c,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2011ApJ...727..117M target=ref> Meschiari et al. 2011 </a>,Radial Velocity,2,110.9,0.5137,4949,1.47,2.62,5/14/14,HD 177830 c,,,2010,3,59.03
428,HD 178911 B,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009ApJS..182...97W target=ref> Wittenmyer et al. 2009 </a>,Radial Velocity,1,71.484,0.339,5668,1.014,,5/14/14,HD 178911 B b,,,2001,3,47
429,HD 179079,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009ApJ...702..989V target=ref> Valenti et al. 2009 </a>,Radial Velocity,1,14.476,0.1216,5684,1.146,1.6,7/9/14,HD 179079 b,,,2008,3,63.69
430,HD 179949,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2006ApJ...646..505B target=ref> Butler et al. 2006 </a>,Radial Velocity,1,3.092514,0.0443,6168,1.21,,7/9/14,HD 179949 b,,,2000,3,27.05
431,HD 180314,b,1,<a href=http://adsabs.harvard.edu/abs/2010PASJ...62.1063S target=ref> Sato et al. 2010 </a>,Radial Velocity,1,396.03,1.4,4917,2.6,9.2,9/10/15,HD 180314 b,,,2010,3,131.75
432,HD 180902,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010PASP..122..701J target=ref> Johnson et al. 2010 </a>,Radial Velocity,1,479,1.39,5030,1.52,4.1,5/14/14,HD 180902 b,,,2009,3,114.55
433,HD 181342,b,1,<a href=http://adsabs.harvard.edu/abs/2016arXiv160303738J target=ref>Jones et al. 2016</a>,Radial Velocity,1,562.1,1.65,5040,1.89,5.12,3/17/16,HD 181342 b,,,2009,3,110.62
434,HD 181433,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...496..527B target=ref> Bouchy et al. 2009 </a>,Radial Velocity,3,9.3743,0.08,4962,0.78,,7/23/14,HD 181433 b,,,2008,3,26.15
435,HD 181433,c,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...496..527B target=ref> Bouchy et al. 2009 </a>,Radial Velocity,3,962,1.76,4962,0.78,,7/23/14,HD 181433 c,,,2008,3,26.15
436,HD 181433,d,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...496..527B target=ref> Bouchy et al. 2009 </a>,Radial Velocity,3,2172,3,4962,0.78,,7/23/14,HD 181433 d,,,2008,3,26.15
437,HD 181720,b,1,<a href=http://adsabs.harvard.edu/abs/2010A%26A...512A..47S target=ref> Santos et al. 2010 </a>,Radial Velocity,1,956,1.78,5781,0.92,1.39,7/23/14,HD 181720 b,,,2009,3,55.93
438,HD 183263,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009ApJ...693.1084W target=ref> Wright et al. 2009 </a>,Radial Velocity,2,626.5,1.51,,,,7/23/14,HD 183263 b,,,2004,3,52.83
439,HD 183263,c,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009ApJ...693.1084W target=ref> Wright et al. 2009 </a>,Radial Velocity,2,3070,4.35,,,,7/23/14,HD 183263 c,,,2008,3,52.83
440,HD 185269,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2006ApJ...652.1724J target=ref> Johnson et al. 2006 </a>,Radial Velocity,1,6.838,0.077,5980,1.28,1.88,7/23/14,HD 185269 b,,,2006,3,47.37
441,HD 187085,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2006MNRAS.369..249J target=ref> Jones et al. 2006 </a>,Radial Velocity,1,986,2.05,6075,1.22,,7/23/14,HD 187085 b,,,2006,3,44.98
442,HD 187123,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009ApJ...693.1084W target=ref> Wright et al. 2009 </a>,Radial Velocity,2,3.0965828,0.0426,,,,7/23/14,HD 187123 b,,,1998,3,47.92
443,HD 187123,c,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009ApJ...693.1084W target=ref> Wright et al. 2009 </a>,Radial Velocity,2,3810,4.89,,,,7/23/14,HD 187123 c,,,2008,3,47.92
444,HD 18742,b,1,<a href=http://adsabs.harvard.edu/abs/2011ApJS..197...26J target=ref> Johnson et al. 2011 </a>,Radial Velocity,1,772,1.92,5048,1.6,4.9,5/14/14,HD 18742 b,,,2011,3,127.88
445,HD 188015,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2006ApJ...646..505B target=ref> Butler et al. 2006 </a>,Radial Velocity,1,461.2,1.203,5746,1.09,,7/23/14,HD 188015 b,,,2004,3,52.63
446,HD 189733,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015MNRAS.450.3101B target=ref>Baluev et al. 2015</a>,Radial Velocity,1,2.2185752,,,,,4/24/15,HD 189733 b,,,2005,3,19.25
447,HD 190360,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009ApJ...693.1084W target=ref> Wright et al. 2009 </a>,Radial Velocity,2,2915,4.01,,,,8/21/14,HD 190360 b,,,2003,3,15.89
448,HD 190360,c,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009ApJ...693.1084W target=ref> Wright et al. 2009 </a>,Radial Velocity,2,17.111,0.1304,,,,8/21/14,HD 190360 c,,,2005,3,15.89
449,HD 190647,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2007A&A...470..721N target=ref> Naef et al. 2007 </a>,Radial Velocity,1,1038.1,2.07,5628,1.1,,5/14/14,HD 190647 b,,,2007,3,54.23
450,HD 190984,b,1,<a href=http://adsabs.harvard.edu/abs/2010A%26A...512A..47S target=ref> Santos et al. 2010 </a>,Radial Velocity,1,4885,5.5,5988,0.91,1.53,8/21/14,HD 190984 b,,,2009,3,189.39
451,HD 191806,b,1,<a href=http://adsabs.harvard.edu/abs/2016arXiv160407610D target=ref>Diaz et al. 2016</a>,Radial Velocity,1,1606.3,2.8,6010,1.14,,5/19/16,HD 191806 b,,,2016,3,73.47
452,HD 192263,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2012ApJ...754...37D target=ref>Dragomir et al. 2012</a>,Radial Velocity,1,24.3587,0.15312,4996,0.807,0.73,3/26/15,HD 192263 b,,,1999,3,19.89
453,HD 192310,b,1,<a href=http://adsabs.harvard.edu/abs/2011A%26A...534A..58P target=ref> Pepe et al. 2011 </a>,Radial Velocity,2,74.72,0.32,5166,0.8,,7/2/15,HD 192310 b,,,2011,3,8.82
454,HD 192310,c,1,<a href=http://adsabs.harvard.edu/abs/2011A%26A...534A..58P target=ref> Pepe et al. 2011 </a>,Radial Velocity,2,525.8,1.18,5166,0.8,,7/2/15,HD 192310 c,,,2011,3,8.82
455,HD 192699,b,1,<a href=http://adsabs.harvard.edu/abs/2010ApJ...709..396B target=ref> Bowler et al. 2010 </a>,Radial Velocity,1,345.53,1.15,,1.69,,8/21/14,HD 192699 b,,,2007,3,67.39
456,HD 195019,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2006ApJ...646..505B target=ref> Butler et al. 2006 </a>,Radial Velocity,1,18.20132,0.1388,5788,1.07,,7/23/14,HD 195019 b,,,1998,3,37.35
457,HD 196050,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2006ApJ...646..505B target=ref> Butler et al. 2006 </a>,Radial Velocity,1,1378,2.54,,,,8/21/14,HD 196050 b,,,2002,3,46.93
458,HD 196067,b,1,<a href=http://adsabs.harvard.edu/abs/2013A%26A...551A..90M target=ref> Marmier et al. 2013 </a>,Radial Velocity,1,3638,5.02,6017,1.29,1.73,5/14/14,HD 196067 b,,,2012,3,43.57
459,HD 196885,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009ApJ...703.1545F target=ref> Fischer et al. 2009 </a>,Radial Velocity,1,1333,2.37,6254,1.28,1.31,8/21/14,HD 196885 b,,,2007,3,32.99
460,HD 197037,b,1,<a href=http://adsabs.harvard.edu/abs/2012ApJ...749...39R target=ref> Robertson et al. 2012 </a>,Radial Velocity,1,1035.7,2.07,,,,5/14/14,HD 197037 b,,,2012,3,32.83
461,HD 19994,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009ApJS..182...97W target=ref> Wittenmyer et al. 2009 </a>,Radial Velocity,1,466.2,1.305,6188,1.365,,5/14/14,HD 19994 b,,,2003,3,22.38
462,HD 200964,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010arXiv1007.4552J target=ref> Johnson et al. 2010 </a>,Radial Velocity,2,613.8,1.601,5164,1.44,4.3,5/14/14,HD 200964 b,,,2010,3,68.35
463,HD 200964,c,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010arXiv1007.4552J target=ref> Johnson et al. 2010 </a>,Radial Velocity,2,825,1.95,5164,1.44,4.3,5/14/14,HD 200964 c,,,2010,3,68.35
464,HD 202206,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2005A&A...440..751C target=ref> Correia et al. 2005 </a>,Radial Velocity,2,255.87,0.83,,,,8/27/15,HD 202206 b,,,2002,3,46.34
465,HD 202206,c,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2005A&A...440..751C target=ref> Correia et al. 2005 </a>,Radial Velocity,2,1383.4,2.55,,,,8/27/15,HD 202206 c,,,2004,3,46.34
466,HD 203030,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2006ApJ...651.1166M target=ref> Metchev & Hillenbrand 2006 </a>,Imaging,1,,487.1,,,,5/14/14,HD 203030 b,7656.097,,2006,3,40.85
467,HD 2039,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2006ApJ...646..505B target=ref> Butler et al. 2006 </a>,Radial Velocity,1,1120,2.23,,,,8/21/14,HD 2039 b,,,2002,3,89.85
468,HD 204313,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151006446D target=ref>D&iacute;az et al. 2015</a>,Radial Velocity,2,2024.1,3.167,5776,1.02,,11/19/15,HD 204313 b,,,2010,3,47.3
469,HD 204313,c,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151006446D target=ref>D&iacute;az et al. 2015</a>,Radial Velocity,2,34.905,0.2099,5776,1.02,,11/19/15,HD 204313 c,,,2015,3,47.3
470,HD 204941,b,1,<a href=http://adsabs.harvard.edu/abs/2011A%26A...535A..55D target=ref> Dumusque et al. 2011 </a>,Radial Velocity,1,1733,2.56,5056,0.74,0.72,5/14/14,HD 204941 b,,,2011,3,26.95
471,HD 205739,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008AJ....136.1901L target=ref> Lopez-Morales et al. 2008 </a>,Radial Velocity,1,279.8,0.896,6176,1.22,1.33,9/25/14,HD 205739 b,,,2008,3,90.33
472,HD 206610,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010PASP..122..701J target=ref> Johnson et al. 2010 </a>,Radial Velocity,1,610,1.68,4874,1.56,6.1,5/14/14,HD 206610 b,,,2009,3,170.07
473,HD 20782,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...821...65K target=ref>Kane et al. 2016</a>,Radial Velocity,1,597.065,1.397,5798,1.02,1.09,5/19/16,HD 20782 b,,,2006,3,35.5
474,HD 207832,b,1,<a href=http://adsabs.harvard.edu/abs/2012ApJ...756...91H target=ref> Haghighipour et al. 2012 </a>,Radial Velocity,2,161.97,0.57,5710,0.94,0.9,9/10/15,HD 207832 b,,,2012,3,55.31
475,HD 207832,c,1,<a href=http://adsabs.harvard.edu/abs/2012ApJ...756...91H target=ref> Haghighipour et al. 2012 </a>,Radial Velocity,2,1155.7,2.112,5710,0.94,0.9,9/10/15,HD 207832 c,,,2012,3,55.31
476,HD 20794,b,1,<a href=http://adsabs.harvard.edu/abs/2011A%26A...534A..58P target=ref> Pepe et al. 2011 </a>,Radial Velocity,4,18.315,0.1207,5401,0.7,,8/27/15,HD 20794 b,,,2011,3,6.06
477,HD 20794,c,1,<a href=http://adsabs.harvard.edu/abs/2011A%26A...534A..58P target=ref> Pepe et al. 2011 </a>,Radial Velocity,4,40.114,0.2036,5401,0.7,,8/27/15,HD 20794 c,,,2011,3,6.06
478,HD 20794,d,1,<a href=http://adsabs.harvard.edu/abs/2011A%26A...534A..58P target=ref> Pepe et al. 2011 </a>,Radial Velocity,4,90.309,0.3499,5401,0.7,,8/27/15,HD 20794 d,,,2011,3,6.06
479,HD 20794,e,1,<a href=http://adsabs.harvard.edu/abs/2017arXiv170505124F target=ref>Feng et al. 2017</a>,Radial Velocity,4,147.02,0.509,,0.813,,6/8/17,HD 20794 e,,,2017,3,6.06
480,HD 208487,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2006ApJ...646..505B target=ref> Butler et al. 2006 </a>,Radial Velocity,1,130.08,0.524,6067,1.13,,11/5/14,HD 208487 b,,,2004,3,44
481,HD 208527,b,1,<a href=http://adsabs.harvard.edu/abs/2013A%26A...549A...2L target=ref> Lee et al. 2013 </a>,Radial Velocity,1,875.5,2.1,4035,1.6,51.1,5/14/14,HD 208527 b,,,2012,3,352.11
